Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Trittfrequenz,Max. Trittfrequenz,Normalized Power® (NP®),Training Stress Score®,Maximale Ø Leistung (20 min),Ø Leistung,Max. Leistung,Dekompression,Beste Rundenzeit,Anzahl der Runden,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Virtuelles Radfahren,2021-07-26 17:08:35,false,"Zwift - Back to Fitness - Power   Climbing","19,01","266","00:45:14","167","191","--","25,2","65,1","138","--","85","116","114","0,0","112","103","209","Nein","00:00:15","49","00:45:09","00:45:13","4","65"
Virtuelles Radfahren,2021-07-24 12:36:12,false,"Zwift - Back to Fitness - To The Max","10,70","163","00:33:11","169","205","--","19,3","80,9","206","--","86","126","103","0,0","90","86","395","Nein","00:00:12","10","00:33:05","00:33:10","97","183"
Radfahren,2021-07-23 15:00:36,false,"Pliening Radfahren","4,40","91","00:15:52","129","149","--","16,6","19,7","--","18","--","--","--","0,0","--","--","--","Nein","00:15:52","1","00:15:40","00:17:05","492","512"
Virtuelles Radfahren,2021-07-19 17:19:01,false,"Zwift - Back to Fitness - Spice of Life","14,33","229","00:41:12","147","185","--","20,9","59,5","211","--","77","96","105","0,0","102","97","142","Nein","00:00:13","17","00:41:06","00:41:11","279","403"
Radfahren,2021-07-18 16:09:42,false,"Aschheim Radfahren","8,37","173","00:32:05","129","149","--","15,6","28,8","13","6","--","--","--","0,0","--","--","--","Nein","00:11:34","2","00:31:50","00:37:39","509","516"
Radfahren,2021-07-18 15:04:33,false,"Pliening Radfahren","7,38","137","00:24:36","130","184","--","18,0","26,3","18","9","--","--","--","0,0","--","--","--","Nein","00:07:38,7","2","00:24:18","00:25:32","503","521"
Virtuelles Radfahren,2021-07-17 17:56:30,false,"Zwift - Back to Fitness - Rainbow","17,53","188","00:40:14","157","188","--","26,1","49,0","49","--","93","111","92","0,0","88","82","261","Nein","00:00:15","14","00:40:09","00:40:13","10","34"
Virtuelles Radfahren,2021-07-13 17:56:08,false,"Zwift - Back to Fitness - Touch of Egypt","13,73","200","00:41:11","152","177","--","20,0","81,4","242","--","97","115","93","0,0","89","85","128","Nein","00:00:12","15","00:41:06","00:41:10","97","183"
Radfahren,2021-07-11 16:37:33,false,"Erding Radfahren","18,88","445","01:03:05","150","192","--","18,0","27,5","88","51","--","--","--","0,0","--","--","--","Nein","00:12:35","4","01:02:21","01:21:59","466","509"
Radfahren,2021-07-11 14:37:27,false,"Pliening Radfahren","17,57","328","00:55:16","137","173","--","19,1","32,7","29","63","--","--","--","0,0","--","--","--","Nein","00:08:37,7","4","00:54:38","01:04:07","467","504"
Virtuelles Radfahren,2021-07-10 18:06:56,false,"Zwift - Emily's Short Mix","12,00","188","00:30:29","161","186","--","23,6","82,7","213","--","78","89","116","0,0","119","108","143","Nein","00:00:30","14","00:30:28","00:30:28","97","183"
Virtuelles Radfahren,2021-06-19 12:20:51,false,"Zwift - Back to Fitness - The Beginning","9,79","165","00:33:06","146","173","--","17,7","58,1","181","--","76","95","102","0,0","96","87","139","Nein","00:00:07","12","00:32:59","00:33:05","4","104"
Virtuelles Radfahren,2021-06-14 20:29:06,false,"Zwift - Back to Fitness - Basics","9,44","149","00:31:25","145","173","--","18,0","59,5","164","--","87","129","100","0,0","88","85","212","Nein","00:00:06","17","00:30:55","00:31:24","4","85"
Radfahren,2021-05-30 12:05:51,false,"Pliening Radfahren","20,83","426","00:52:59","159","190","--","23,6","39,1","17","15","--","--","--","0,0","--","--","--","Nein","00:02:40,8","5","00:52:45","00:54:20","468","494"
Virtuelles Radfahren,2021-05-12 12:27:28,false,"Zwift - 2 by 2","13,42","172","00:30:16","162","193","0,0","26,6","46,5","78","--","86","103","115","0,0","114","100","162","Nein","00:00:17","17","00:30:11","00:30:15","41","71"
Virtuelles Radfahren,2021-05-10 14:52:31,false,"Zwift - Jon's Short Mix","13,97","186","00:29:40","164","196","0,0","28,3","52,5","64","--","77","117","132","0,0","126","110","417","Nein","00:00:10","15","00:29:35","00:29:39","9","31"
Radfahren,2021-05-08 19:30:43,false,"Poing Radfahren","3,66","60","00:10:37","126","173","--","20,7","26,6","--","9","--","--","--","0,0","--","--","--","Nein","00:10:37","1","00:10:28","00:12:46","502","512"
Virtuelles Radfahren,2021-05-03 16:59:44,false,"Zwift - Emily's Short Mix","12,98","207","00:31:52","172","197","0,0","24,4","83,0","225","--","74","91","123","0,0","128","114","159","Nein","00:01:00","14","00:31:47","00:31:51","97","183"
Virtuelles Radfahren,2021-04-30 17:51:27,false,"Zwift - Pebble Pounder - Leg Openers","12,29","157","00:30:10","156","191","0,0","24,4","56,7","72","--","89","119","106","0,0","104","91","169","Nein","00:00:11","15","00:30:03","00:30:09","4","38"
