Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Training Stress Score®,Schritte,Dekompression,Beste Rundenzeit,Anzahl der Runden,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Laufen,2025-04-03 17:42:30,false,"Pliening Laufen","2,88","182","00:24:27","149","171","134","220","8:29","6:03","6","2","0,88","0,0","3.398","Nein","00:01:01,1","8","00:24:00","00:24:27","501","510"
Laufbandtraining,2025-04-01 17:37:56,false,"Laufbandtraining","0,52","57","00:11:38","113","146","95","157","22:28","7:21","--","--","0,47","0,0","1.460","Nein","00:11:38","1","00:06:50","00:11:38","--","--"
Laufbandtraining,2025-03-28 17:55:36,false,"Laufbandtraining","0,28","11","00:04:18,5","90","99","145","163","15:21","8:51","--","--","0,45","0,0","636","Nein","00:04:18,5","1","00:04:04","00:04:18,5","--","--"
Laufbandtraining,2025-03-27 08:49:38,false,"Laufbandtraining","1,08","39","00:15:15","90","97","149","156","14:10","10:05","--","--","0,47","0,0","2.264","Nein","00:01:06,4","2","00:15:14","00:15:15","--","--"
Laufbandtraining,2025-03-01 17:40:36,false,"Laufbandtraining","2,11","152","00:30:25","119","135","150","163","14:27","9:52","--","--","0,46","0,0","4.574","Nein","00:01:29,6","3","00:29:35","00:30:25","--","--"
Laufbandtraining,2025-02-26 18:56:04,false,"Laufbandtraining","2,01","142","00:30:33","118","134","149","161","15:13","9:55","--","--","0,44","0,0","4.544","Nein","00:00:15,1","3","00:29:10","00:30:33","--","--"
Laufbandtraining,2025-02-24 17:43:27,false,"Laufbandtraining","1,67","157","00:25:13","129","143","150","163","15:08","8:35","--","--","0,44","0,0","3.790","Nein","00:09:52,9","2","00:24:51","00:25:13","--","--"
Laufbandtraining,2025-02-22 17:19:35,false,"Laufbandtraining","2,79","215","00:40:27","124","135","151","156","14:30","9:27","--","--","0,46","0,0","6.080","Nein","00:11:40","3","00:40:22","00:40:27","--","--"
Laufbandtraining,2025-02-17 17:15:38,false,"Laufbandtraining","1,01","73","00:15:11","111","146","150","156","15:01","9:59","--","--","0,45","0,0","2.270","Nein","00:00:10,9","2","00:14:48","00:15:11","--","--"
Laufbandtraining,2025-02-09 17:11:45,false,"Laufbandtraining","1,40","145","00:20:17","135","150","146","151","14:28","10:20","--","--","0,47","0,0","2.954","Nein","00:05:57,9","2","00:20:09","00:20:17","--","--"
Laufbandtraining,2025-02-08 17:11:09,false,"Laufbandtraining","2,46","263","00:35:43","140","157","147","152","14:30","10:12","--","--","0,47","0,0","5.254","Nein","00:06:44,3","3","00:35:12","00:35:43","--","--"
Laufen,2025-02-06 18:22:57,false,"La Matanza de Acentejo Laufen","1,56","124","00:15:03","149","190","140","208","9:41","6:00","79","86","0,72","0,0","2.194","Nein","00:07:29,8","2","00:14:23","00:15:03","372","413"
Laufen,2025-02-03 18:27:38,false,"La Matanza de Acentejo Laufen","2,68","214","00:24:09","162","202","135","247","9:01","6:11","114","120","0,83","0,0","3.382","Nein","00:06:28,6","3","00:23:18","00:24:57","210","319"
Laufbandtraining,2025-01-31 15:30:54,false,"Laufbandtraining","0,92","74","00:10:21","134","148","124","155","11:16","8:30","--","--","0,72","0,0","1.390","Nein","00:10:21","1","00:08:34","00:10:28","--","--"
Laufbandtraining,2025-01-28 12:41:10,false,"Laufbandtraining","2,08","147","00:20:21","136","155","134","155","9:45","8:21","--","--","0,76","0,0","2.844","Nein","00:00:46,6","3","00:18:17","00:20:21","--","--"
Laufbandtraining,2025-01-19 16:55:11,false,"Laufbandtraining","3,53","207","00:30:40","134","154","149","160","8:41","8:12","--","--","0,77","0,0","4.548","Nein","00:04:28,6","4","00:30:00","00:30:40","--","--"
Laufbandtraining,2025-01-15 11:51:48,false,"Laufbandtraining","3,37","206","00:30:05","135","152","146","155","8:55","8:23","--","--","0,77","0,0","4.400","Nein","00:03:18,9","4","00:29:45","00:33:25","--","--"
Laufbandtraining,2025-01-12 17:16:26,false,"Laufbandtraining","5,53","407","00:47:54","150","163","150","156","8:40","8:19","--","--","0,77","0,0","7.124","Nein","00:04:32,8","6","00:47:46","00:47:54","--","--"
Laufbandtraining,2025-01-08 20:04:28,false,"Laufbandtraining","4,64","260","00:40:14","133","146","150","155","8:40","7:42","--","--","0,77","0,0","5.986","Nein","00:05:27,7","5","00:40:00","00:40:14","--","--"
Laufbandtraining,2025-01-05 17:27:30,false,"Laufbandtraining","4,59","286","00:39:57","138","175","150","163","8:42","7:07","--","--","0,77","0,0","5.966","Nein","00:04:55,2","5","00:39:46","00:41:42","--","--"
Laufbandtraining,2025-01-03 17:47:46,false,"Laufbandtraining","1,25","73","00:10:36","131","145","155","165","8:29","7:16","--","--","0,76","0,0","1.656","Nein","00:02:02,9","2","00:10:35","00:10:36","--","--"
Laufbandtraining,2024-12-28 17:37:20,false,"Laufbandtraining","2,47","147","00:21:24","133","143","151","157","8:40","8:19","--","--","0,76","0,0","3.222","Nein","00:04:05,1","3","00:21:15","00:21:24","--","--"
Laufbandtraining,2024-12-22 17:59:55,false,"Laufbandtraining","1,14","93","00:15:17","126","144","99","158","13:23","8:21","--","--","0,74","0,0","1.560","Nein","00:06:28,6","2","00:09:53","00:15:17","--","--"
Laufbandtraining,2024-12-15 18:04:31,false,"Laufbandtraining","0,75","56","00:09:05,5","125","142","109","158","12:04","8:14","--","--","0,76","0,0","1.064","Nein","00:09:05,5","1","00:06:28","00:09:05,5","--","--"
Laufbandtraining,2024-12-07 17:53:17,false,"Laufbandtraining","1,28","76","00:11:48","128","141","142","156","9:15","8:16","--","--","0,76","0,0","1.700","Nein","00:02:49,9","2","00:10:55","00:11:48","--","--"
Laufbandtraining,2024-11-30 12:25:52,false,"Laufbandtraining","0,81","50","00:07:11,4","131","144","147","161","8:52","8:14","--","--","0,77","0,0","1.064","Nein","00:07:11,4","1","00:07:06","00:07:11,4","--","--"
Laufbandtraining,2024-11-24 17:43:36,false,"Laufbandtraining","2,39","146","00:20:54","136","150","148","159","8:45","8:14","--","--","0,77","0,0","3.092","Nein","00:03:34,5","3","00:20:31","00:20:54","--","--"
Laufbandtraining,2024-11-19 17:44:10,false,"Laufbandtraining","1,60","127","00:15:11","148","177","137","182","9:30","5:58","--","--","0,77","0,0","2.102","Nein","00:05:01,9","2","00:12:45","00:15:11","--","--"
Laufbandtraining,2024-11-09 17:56:55,false,"Laufbandtraining","1,01","57","00:08:41,5","129","140","153","159","8:38","8:12","--","--","0,76","0,0","1.328","Nein","00:00:02,3","2","00:08:40,3","00:08:41,5","--","--"
Laufbandtraining,2024-10-27 17:41:09,false,"Laufbandtraining","1,31","95","00:18:01","119","145","100","155","13:44","8:21","--","--","0,73","0,0","2.004","Nein","00:05:37,9","2","00:11:10","00:18:01","--","--"
Laufen,2024-10-11 18:25:29,false,"Pliening Laufen","3,86","252","00:26:54","159","185","153","167","6:58","5:31","2","--","0,94","0,0","4.168","Nein","00:06:16,2","4","00:26:00","00:27:20","503","508"
Laufbandtraining,2024-09-22 17:46:22,false,"Laufbandtraining","2,61","187","00:23:13","145","165","149","156","8:53","8:21","--","--","0,75","0,0","3.456","Nein","00:05:24,8","3","00:23:00","00:23:13","--","--"
Laufbandtraining,2024-09-07 18:36:50,false,"Laufbandtraining","1,65","131","00:15:27","149","181","140","162","9:21","6:59","--","--","0,76","0,0","2.228","Nein","00:05:01,9","2","00:14:12","00:15:27","--","--"
Laufen,2024-09-05 11:43:32,false,"Roquebrune-sur-Argens Laufen","1,99","131","00:17:21","140","172","117","173","8:42","5:07","11","4","0,99","0,0","2.254","Nein","00:08:31,4","2","00:13:55","00:22:34","9","17"
Laufen,2024-08-30 07:40:10,false,"Nice Laufen","3,72","226","00:23:30","162","189","159","220","6:19","5:33","--","--","0,99","0,0","3.746","Nein","00:04:23,2","4","00:23:24","00:25:30","0","4"
Laufbandtraining,2024-08-27 18:08:23,false,"Laufbandtraining","3,47","278","00:32:25","151","193","143","171","9:21","6:11","--","--","0,75","0,0","4.684","Nein","00:03:38,0","4","00:31:52","00:32:25","--","--"
Laufen,2024-08-23 17:06:49,false,"Pliening Laufen","10,41","723","01:13:11","176","204","155","176","7:02","5:16","13","17","0,92","0,0","11.340","Nein","00:02:40,5","11","01:13:01","01:13:11","490","504"
Laufbandtraining,2024-08-19 17:33:03,false,"Laufbandtraining","1,81","120","00:17:05","134","158","146","153","9:28","7:40","--","--","0,72","0,0","2.494","Nein","00:07:23,1","2","00:17:00","00:17:05","--","--"
Laufbandtraining,2024-08-17 17:37:43,false,"Laufbandtraining","3,57","254","00:31:11","145","170","150","160","8:44","7:02","--","--","0,76","0,0","4.642","Nein","00:04:20,4","4","00:31:00","00:31:11","--","--"
Laufbandtraining,2024-08-10 12:20:09,false,"Laufbandtraining","1,02","62","00:10:07","125","139","143","150","9:54","8:48","--","--","0,70","0,0","1.468","Nein","00:00:12,2","2","00:10:00","00:10:07","--","--"
Laufbandtraining,2024-08-08 17:03:02,false,"Laufbandtraining","2,24","156","00:21:13","138","167","146","160","9:28","7:09","--","--","0,73","0,0","3.112","Nein","00:02:07,4","3","00:20:49","00:21:13","--","--"
Laufbandtraining,2024-08-04 17:40:09,false,"Laufbandtraining","2,72","170","00:26:20","132","142","145","155","9:40","8:21","--","--","0,71","0,0","3.832","Nein","00:06:59,5","3","00:25:52","00:26:20","--","--"
Laufbandtraining,2024-08-02 15:38:20,false,"Laufbandtraining","1,07","60","00:10:09","124","132","145","155","9:31","8:43","--","--","0,72","0,0","1.488","Nein","00:00:38,2","2","00:10:09","00:10:09","--","--"
Laufbandtraining,2024-07-28 17:37:31,false,"Laufbandtraining","2,14","135","00:20:49","131","142","145","156","9:44","8:40","--","--","0,71","0,0","3.024","Nein","00:01:20,6","3","00:20:49","00:20:49","--","--"
Laufen,2024-07-09 17:29:22,false,"Pliening Laufen","4,56","304","00:33:46","163","201","144","203","7:24","2:55","6","6","0,93","0,0","4.958","Nein","00:03:05,0","5","00:33:09","00:34:41","494","503"
Laufbandtraining,2024-06-30 16:53:13,false,"Laufbandtraining","2,40","141","00:23:45","127","136","145","163","9:54","7:17","--","--","0,84","0,0","3.456","Nein","00:00:37,8","4","00:23:32","00:25:58","--","--"
Laufbandtraining,2024-06-23 17:32:46,false,"Laufbandtraining","2,53","130","00:20:40","129","142","144","158","8:11","7:17","--","--","0,85","0,0","2.984","Nein","00:04:14,5","3","00:20:16","00:20:40","--","--"
Laufen,2024-04-14 16:58:03,false,"Pliening Laufen","3,77","220","00:31:23","146","165","140","163","8:19","6:21","4","6","0,86","0,0","4.492","Nein","00:06:07,0","4","00:31:12","00:31:23","497","504"
Laufen,2024-04-07 17:17:16,false,"Pliening Laufen","3,60","230","00:22:46","167","182","160","169","6:20","5:54","4","2","0,99","0,0","3.664","Nein","00:03:49,0","4","00:22:46","00:22:46","503","509"
Laufen,2024-03-30 17:26:35,false,"Pliening Laufen","4,25","276","00:36:17","150","172","139","169","8:33","6:20","4","4","0,84","0,0","5.212","Nein","00:02:07,4","5","00:35:57","00:36:17","501","505"
Laufbandtraining,2024-03-28 17:22:24,false,"Laufbandtraining","1,25","65","00:08:39,9","136","150","149","155","6:55","6:26","--","--","0,97","0,0","1.280","Nein","00:01:42,6","2","00:08:38","00:08:39,9","--","--"
Laufbandtraining,2024-03-23 17:10:52,false,"Laufbandtraining","1,86","99","00:13:27","136","151","146","157","7:15","6:17","--","--","0,94","0,0","1.972","Nein","00:06:13,7","2","00:13:06","00:13:27","--","--"
Laufbandtraining,2024-03-14 12:04:10,false,"Laufbandtraining","2,09","111","00:15:19","136","154","140","149","7:20","6:44","--","--","0,97","0,0","2.152","Nein","00:00:37,4","3","00:15:03","00:15:19","--","--"
Laufbandtraining,2024-03-13 12:31:47,false,"Laufbandtraining","1,30","62","00:10:12","124","137","131","147","7:51","6:38","--","--","0,97","0,0","1.414","Nein","00:02:05,7","2","00:09:08","00:10:12","--","--"
Laufbandtraining,2024-03-11 13:30:48,false,"Laufbandtraining","2,42","113","00:17:35","129","143","143","149","7:16","6:35","--","--","0,96","0,0","2.522","Nein","00:02:58,8","3","00:17:32","00:17:35","--","--"
